上市公司代码,上市公司简称,门类代码,门类简称,次类代码,次类简称,大类代码,大类简称
000001,平安银行,J,金融业,,,66,货币金融服务
000002,万科A,K,房地产业,,,70,房地产业
000004,*ST国华,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
000006,深振业A,K,房地产业,,,70,房地产业
000007,全新好,K,房地产业,,,70,房地产业
000008,神州高铁,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
000009,中国宝安,J,金融业,,,69,其他金融业
000010,美丽生态,E,建筑业,,,48,土木工程建筑业
000011,深物业A,K,房地产业,,,70,房地产业
000012,南玻A,C,制造业,CF,金属、非金属,30,非金属矿物制品业
000014,沙河股份,K,房地产业,,,70,房地产业
000016,深康佳A,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000017,深中华A,C,制造业,CD,造纸、印刷、文教,24,文教、工美、体育和娱乐用品制造业
000019,深粮控股,F,批发和零售业,,,51,批发业
000020,深华发A,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000021,深科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000025,特力A,F,批发和零售业,,,51,批发业
000026,飞亚达,F,批发和零售业,,,52,零售业
000027,深圳能源,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000028,国药一致,F,批发和零售业,,,51,批发业
000029,深深房A,K,房地产业,,,70,房地产业
000030,富奥股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000031,大悦城,K,房地产业,,,70,房地产业
000032,深桑达A,E,建筑业,,,49,建筑安装业
000034,神州数码,F,批发和零售业,,,51,批发业
000035,中国天楹,N,水利、环境和公共设施管理业,,,77,生态保护和环境治理业
000036,华联控股,K,房地产业,,,70,房地产业
000037,深南电A,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000039,中集集团,C,制造业,CF,金属、非金属,33,金属制品业
000042,中洲控股,K,房地产业,,,70,房地产业
000045,深纺织A,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000048,京基智农,A,农、林、牧、渔业,,,03,畜牧业
000049,德赛电池,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000050,深天马A,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000055,方大集团,C,制造业,CF,金属、非金属,33,金属制品业
000056,皇庭国际,L,租赁和商务服务业,,,72,商务服务业
000058,深赛格,L,租赁和商务服务业,,,72,商务服务业
000059,华锦股份,C,制造业,CE,石油、化学、生物医药,25,石油、煤炭及其他燃料加工业
000060,中金岭南,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
000061,农产品,L,租赁和商务服务业,,,72,商务服务业
000062,深圳华强,F,批发和零售业,,,51,批发业
000063,中兴通讯,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000065,北方国际,F,批发和零售业,,,51,批发业
000066,中国长城,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000068,华控赛格,F,批发和零售业,,,51,批发业
000069,华侨城A,K,房地产业,,,70,房地产业
000070,特发信息,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000078,海王生物,F,批发和零售业,,,51,批发业
000088,盐田港,G,交通运输、仓储和邮政业,,,55,水上运输业
000089,深圳机场,G,交通运输、仓储和邮政业,,,56,航空运输业
000090,天健集团,E,建筑业,,,48,土木工程建筑业
000096,广聚能源,F,批发和零售业,,,51,批发业
000099,中信海直,G,交通运输、仓储和邮政业,,,56,航空运输业
000100,TCL科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000151,中成股份,F,批发和零售业,,,51,批发业
000153,丰原药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000155,川能动力,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000156,华数传媒,I,信息传输、软件和信息技术服务业,,,63,电信、广播电视和卫星传输服务
000157,中联重科,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000158,常山北明,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
000159,国际实业,F,批发和零售业,,,51,批发业
000166,申万宏源,J,金融业,,,67,资本市场服务
000301,东方盛虹,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000333,美的集团,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000338,潍柴动力,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000400,许继电气,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000401,金隅冀东,C,制造业,CF,金属、非金属,30,非金属矿物制品业
000402,金融街,K,房地产业,,,70,房地产业
000403,派林生物,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000404,长虹华意,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000407,胜利股份,D,电力、热力、燃气及水生产和供应业,,,45,燃气生产和供应业
000408,藏格矿业,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000409,云鼎科技,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
000410,沈阳机床,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000411,英特集团,F,批发和零售业,,,51,批发业
000415,渤海租赁,L,租赁和商务服务业,,,71,租赁业
000417,合百集团,F,批发和零售业,,,52,零售业
000419,通程控股,F,批发和零售业,,,52,零售业
000420,吉林化纤,C,制造业,CE,石油、化学、生物医药,28,化学纤维制造业
000421,南京公用,D,电力、热力、燃气及水生产和供应业,,,45,燃气生产和供应业
000422,湖北宜化,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000423,东阿阿胶,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000425,徐工机械,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000426,兴业银锡,B,采矿业,,,09,有色金属矿采选业
000428,华天酒店,H,住宿和餐饮业,,,61,住宿业
000429,粤高速A,G,交通运输、仓储和邮政业,,,54,道路运输业
000430,ST张家界,N,水利、环境和公共设施管理业,,,78,公共设施管理业
000488,ST晨鸣,C,制造业,CD,造纸、印刷、文教,22,造纸和纸制品业
000498,山东路桥,E,建筑业,,,48,土木工程建筑业
000501,武商集团,F,批发和零售业,,,52,零售业
000503,国新健康,I,信息传输、软件和信息技术服务业,,,64,互联网和相关服务
000504,*ST生物,M,科学研究和技术服务业,,,75,科技推广和应用服务业
000505,京粮控股,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
000506,招金黄金,B,采矿业,,,09,有色金属矿采选业
000507,珠海港,G,交通运输、仓储和邮政业,,,55,水上运输业
000509,华塑控股,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000510,新金路,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000513,丽珠集团,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000514,渝开发,K,房地产业,,,70,房地产业
000516,国际医学,Q,卫生和社会工作,,,84,卫生
000517,荣安地产,K,房地产业,,,70,房地产业
000518,*ST四环,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000519,中兵红箭,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000520,凤凰航运,G,交通运输、仓储和邮政业,,,55,水上运输业
000521,长虹美菱,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000523,红棉股份,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
000524,岭南控股,L,租赁和商务服务业,,,72,商务服务业
000525,红太阳,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000526,学大教育,P,教育,,,83,教育
000528,柳工,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000529,广弘控股,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
000530,冰山冷热,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000531,穗恒运A,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000532,华金资本,S,综合,,,91,综合
000533,顺钠股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000534,万泽股份,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000536,华映科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000537,中绿电,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000538,云南白药,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000539,粤电力A,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000541,佛山照明,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000543,皖能电力,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000544,中原环保,D,电力、热力、燃气及水生产和供应业,,,46,水的生产和供应业
000545,金浦钛业,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000546,金圆股份,C,制造业,CJ,其他制造业,42,废弃资源综合利用业
000547,航天发展,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000548,湖南投资,G,交通运输、仓储和邮政业,,,54,道路运输业
000550,江铃汽车,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000551,创元科技,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000552,甘肃能化,B,采矿业,,,06,煤炭开采和洗选业
000553,安道麦A,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000554,泰山石油,F,批发和零售业,,,51,批发业
000555,神州信息,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
000557,西部创业,G,交通运输、仓储和邮政业,,,53,铁路运输业
000558,天府文旅,N,水利、环境和公共设施管理业,,,78,公共设施管理业
000559,万向钱潮,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000560,我爱我家,K,房地产业,,,70,房地产业
000561,烽火电子,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000563,陕国投A,J,金融业,,,69,其他金融业
000564,供销大集,F,批发和零售业,,,52,零售业
000565,渝三峡A,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000566,海南海药,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000567,海德股份,J,金融业,,,69,其他金融业
000568,泸州老窖,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
000570,苏常柴A,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000571,新大洲A,B,采矿业,,,06,煤炭开采和洗选业
000572,海马汽车,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000573,粤宏远A,C,制造业,CJ,其他制造业,42,废弃资源综合利用业
000576,甘化科工,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000581,威孚高科,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000582,北部湾港,G,交通运输、仓储和邮政业,,,55,水上运输业
000586,汇源通信,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000589,贵州轮胎,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
000590,启迪药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000591,太阳能,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000592,平潭发展,C,制造业,CC,木材、家具,20,木材加工和木、竹、藤、棕、草制品业
000593,德龙汇能,D,电力、热力、燃气及水生产和供应业,,,45,燃气生产和供应业
000595,*ST宝实,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000596,古井贡酒,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
000597,东北制药,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000598,兴蓉环境,D,电力、热力、燃气及水生产和供应业,,,46,水的生产和供应业
000599,青岛双星,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
000600,建投能源,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000601,韶能股份,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000603,盛达资源,B,采矿业,,,09,有色金属矿采选业
000605,渤海股份,D,电力、热力、燃气及水生产和供应业,,,46,水的生产和供应业
000607,华媒控股,L,租赁和商务服务业,,,72,商务服务业
000608,*ST阳光,K,房地产业,,,70,房地产业
000609,ST中迪,S,综合,,,91,综合
000610,西安旅游,L,租赁和商务服务业,,,72,商务服务业
000612,焦作万方,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
000615,*ST美谷,Q,卫生和社会工作,,,84,卫生
000617,中油资本,J,金融业,,,66,货币金融服务
000619,海螺新材,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
000620,盈新发展,K,房地产业,,,70,房地产业
000623,吉林敖东,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000625,长安汽车,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000626,远大控股,F,批发和零售业,,,51,批发业
000627,*ST天茂,J,金融业,,,68,保险业
000628,高新发展,E,建筑业,,,47,房屋建筑业
000629,钒钛股份,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
000630,铜陵有色,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
000631,顺发恒能,K,房地产业,,,70,房地产业
000632,三木集团,F,批发和零售业,,,51,批发业
000633,合金投资,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
000635,英力特,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000636,风华高科,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000637,茂化实华,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000638,*ST万方,A,农、林、牧、渔业,,,05,农、林、牧、渔专业及辅助性活动
000639,西王食品,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
000650,仁和药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000651,格力电器,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000652,泰达股份,F,批发和零售业,,,51,批发业
000655,金岭矿业,B,采矿业,,,08,黑色金属矿采选业
000656,*ST金科,K,房地产业,,,70,房地产业
000657,中钨高新,C,制造业,CF,金属、非金属,33,金属制品业
000659,珠海中富,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
000661,长春高新,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000663,永安林业,A,农、林、牧、渔业,,,02,林业
000665,湖北广电,I,信息传输、软件和信息技术服务业,,,63,电信、广播电视和卫星传输服务
000668,*ST荣控,K,房地产业,,,70,房地产业
000669,ST金鸿,D,电力、热力、燃气及水生产和供应业,,,45,燃气生产和供应业
000670,盈方微,F,批发和零售业,,,51,批发业
000672,上峰水泥,C,制造业,CF,金属、非金属,30,非金属矿物制品业
000676,智度股份,L,租赁和商务服务业,,,72,商务服务业
000677,恒天海龙,C,制造业,CB,纺织、服装、鞋帽,17,纺织业
000678,襄阳轴承,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000679,大连友谊,F,批发和零售业,,,52,零售业
000680,山推股份,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000681,视觉中国,I,信息传输、软件和信息技术服务业,,,64,互联网和相关服务
000682,东方电子,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
000683,博源化工,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000685,中山公用,D,电力、热力、燃气及水生产和供应业,,,46,水的生产和供应业
000686,东北证券,J,金融业,,,67,资本市场服务
000688,国城矿业,B,采矿业,,,09,有色金属矿采选业
000690,宝新能源,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000691,*ST亚太,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000692,惠天热电,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000695,滨海能源,C,制造业,CD,造纸、印刷、文教,23,印刷和记录媒介复制业
000697,*ST炼石,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
000698,沈阳化工,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000700,模塑科技,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000701,厦门信达,F,批发和零售业,,,51,批发业
000702,正虹科技,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
000703,恒逸石化,C,制造业,CE,石油、化学、生物医药,28,化学纤维制造业
000705,浙江震元,F,批发和零售业,,,51,批发业
000707,双环科技,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000708,中信特钢,C,制造业,CF,金属、非金属,31,黑色金属冶炼和压延加工业
000709,河钢股份,C,制造业,CF,金属、非金属,31,黑色金属冶炼和压延加工业
000710,贝瑞基因,M,科学研究和技术服务业,,,74,专业技术服务业
000711,ST京蓝,C,制造业,CJ,其他制造业,42,废弃资源综合利用业
000712,锦龙股份,J,金融业,,,67,资本市场服务
000713,国投丰乐,A,农、林、牧、渔业,,,05,农、林、牧、渔专业及辅助性活动
000715,中兴商业,F,批发和零售业,,,52,零售业
000716,黑芝麻,C,制造业,CA,食品、饮料、烟草,14,食品制造业
000717,中南股份,C,制造业,CF,金属、非金属,31,黑色金属冶炼和压延加工业
000718,苏宁环球,K,房地产业,,,70,房地产业
000719,中原传媒,R,文化、体育和娱乐业,,,86,新闻和出版业
000720,新能泰山,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000721,西安饮食,H,住宿和餐饮业,,,62,餐饮业
000722,湖南发展,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000723,美锦能源,C,制造业,CE,石油、化学、生物医药,25,石油、煤炭及其他燃料加工业
000725,京东方A,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000726,鲁泰A,C,制造业,CB,纺织、服装、鞋帽,17,纺织业
000727,冠捷科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000728,国元证券,J,金融业,,,67,资本市场服务
000729,燕京啤酒,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
000731,四川美丰,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000733,振华科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000735,罗牛山,A,农、林、牧、渔业,,,03,畜牧业
000736,*ST中地,K,房地产业,,,70,房地产业
000737,北方铜业,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
000738,航发控制,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
000739,普洛药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000750,国海证券,J,金融业,,,67,资本市场服务
000751,锌业股份,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
000752,ST西发,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
000753,漳州发展,F,批发和零售业,,,52,零售业
000755,山西高速,G,交通运输、仓储和邮政业,,,54,道路运输业
000756,新华制药,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000757,浩物股份,F,批发和零售业,,,52,零售业
000758,中色股份,B,采矿业,,,09,有色金属矿采选业
000759,中百集团,F,批发和零售业,,,52,零售业
000761,本钢板材,C,制造业,CF,金属、非金属,31,黑色金属冶炼和压延加工业
000762,西藏矿业,B,采矿业,,,09,有色金属矿采选业
000766,通化金马,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000767,晋控电力,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000768,中航西飞,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
000776,广发证券,J,金融业,,,67,资本市场服务
000777,中核科技,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000778,新兴铸管,C,制造业,CF,金属、非金属,33,金属制品业
000779,甘咨询,M,科学研究和技术服务业,,,74,专业技术服务业
000782,恒申新材,C,制造业,CE,石油、化学、生物医药,28,化学纤维制造业
000783,长江证券,J,金融业,,,67,资本市场服务
000785,居然智家,L,租赁和商务服务业,,,72,商务服务业
000786,北新建材,C,制造业,CF,金属、非金属,30,非金属矿物制品业
000788,北大医药,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000789,万年青,C,制造业,CF,金属、非金属,30,非金属矿物制品业
000790,华神科技,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000791,甘肃能源,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000792,盐湖股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000793,ST华闻,R,文化、体育和娱乐业,,,86,新闻和出版业
000795,英洛华,C,制造业,CF,金属、非金属,30,非金属矿物制品业
000796,凯撒旅业,L,租赁和商务服务业,,,72,商务服务业
000797,中国武夷,K,房地产业,,,70,房地产业
000798,中水渔业,A,农、林、牧、渔业,,,04,渔业
000799,酒鬼酒,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
000800,一汽解放,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000801,四川九洲,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000802,北京文化,R,文化、体育和娱乐业,,,87,广播、电视、电影和录音制作业
000803,山高环能,N,水利、环境和公共设施管理业,,,77,生态保护和环境治理业
000807,云铝股份,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
000809,和展能源,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000810,创维数字,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000811,冰轮环境,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000812,陕西金叶,C,制造业,CD,造纸、印刷、文教,23,印刷和记录媒介复制业
000813,德展健康,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000815,美利云,C,制造业,CD,造纸、印刷、文教,22,造纸和纸制品业
000816,智慧农业,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000818,航锦科技,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000819,岳阳兴长,C,制造业,CE,石油、化学、生物医药,25,石油、煤炭及其他燃料加工业
000820,*ST节能,M,科学研究和技术服务业,,,74,专业技术服务业
000821,京山轻机,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000822,山东海化,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000823,超声电子,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000825,太钢不锈,C,制造业,CF,金属、非金属,31,黑色金属冶炼和压延加工业
000826,启迪环境,N,水利、环境和公共设施管理业,,,78,公共设施管理业
000828,东莞控股,G,交通运输、仓储和邮政业,,,54,道路运输业
000829,天音控股,F,批发和零售业,,,51,批发业
000830,鲁西化工,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000831,中国稀土,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
000833,粤桂股份,S,综合,,,91,综合
000837,秦川机床,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000838,财信发展,K,房地产业,,,70,房地产业
000839,国安股份,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
000848,承德露露,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
000850,华茂股份,C,制造业,CB,纺织、服装、鞋帽,17,纺织业
000851,*ST高鸿,F,批发和零售业,,,52,零售业
000852,石化机械,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000856,冀东装备,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000858,五粮液,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
000859,国风新材,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
000860,顺鑫农业,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
000862,银星能源,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000863,三湘印象,K,房地产业,,,70,房地产业
000868,安凯客车,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000869,张裕A,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
000875,吉电股份,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000876,新希望,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
000877,天山股份,C,制造业,CF,金属、非金属,30,非金属矿物制品业
000878,云南铜业,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
000880,潍柴重机,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000881,中广核技,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000882,华联股份,L,租赁和商务服务业,,,72,商务服务业
000883,湖北能源,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000885,城发环境,N,水利、环境和公共设施管理业,,,77,生态保护和环境治理业
000886,海南高速,G,交通运输、仓储和邮政业,,,54,道路运输业
000887,中鼎股份,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
000888,峨眉山A,N,水利、环境和公共设施管理业,,,78,公共设施管理业
000889,中嘉博创,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
000890,法尔胜,C,制造业,CF,金属、非金属,33,金属制品业
000892,欢瑞世纪,R,文化、体育和娱乐业,,,87,广播、电视、电影和录音制作业
000893,亚钾国际,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000895,双汇发展,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
000897,津滨发展,K,房地产业,,,70,房地产业
000898,鞍钢股份,C,制造业,CF,金属、非金属,31,黑色金属冶炼和压延加工业
000899,赣能股份,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000900,现代投资,G,交通运输、仓储和邮政业,,,54,道路运输业
000901,航天科技,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000902,新洋丰,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000903,ST云动,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000905,厦门港务,F,批发和零售业,,,51,批发业
000906,浙商中拓,L,租赁和商务服务业,,,72,商务服务业
000908,ST景峰,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000909,ST数源,K,房地产业,,,70,房地产业
000910,大亚圣象,C,制造业,CC,木材、家具,20,木材加工和木、竹、藤、棕、草制品业
000911,广农糖业,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
000912,泸天化,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000913,钱江摩托,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
000915,华特达因,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000917,电广传媒,I,信息传输、软件和信息技术服务业,,,63,电信、广播电视和卫星传输服务
000919,金陵药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000920,沃顿科技,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000921,海信家电,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000922,佳电股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000923,河钢资源,B,采矿业,,,08,黑色金属矿采选业
000925,众合科技,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
000926,福星股份,K,房地产业,,,70,房地产业
000927,中国铁物,L,租赁和商务服务业,,,72,商务服务业
000928,中钢国际,E,建筑业,,,48,土木工程建筑业
000929,*ST兰黄,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
000930,中粮科技,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000931,中关村,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000932,华菱钢铁,C,制造业,CF,金属、非金属,31,黑色金属冶炼和压延加工业
000933,神火股份,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
