上市公司代码,上市公司简称,门类代码,门类简称,次类代码,次类简称,大类代码,大类简称
603697,有友食品,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
603698,航天工程,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603699,纽威股份,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603700,宁水集团,C,制造业,CI,仪器、仪表,40,仪器仪表制造业
603701,德宏股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603703,盛洋科技,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603706,东方环宇,D,电力、热力、燃气及水生产和供应业,,,45,燃气生产和供应业
603707,健友股份,C,制造业,CE,石油、化学、生物医药,27,医药制造业
603708,家家悦,F,批发和零售业,,,52,零售业
603709,中源家居,C,制造业,CC,木材、家具,21,家具制造业
603711,香飘飘,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
603712,七一二,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603713,密尔克卫,G,交通运输、仓储和邮政业,,,58,多式联运和运输代理业
603716,塞力医疗,F,批发和零售业,,,51,批发业
603717,天域生物,A,农、林、牧、渔业,,,03,畜牧业
603718,海利生物,C,制造业,CE,石油、化学、生物医药,27,医药制造业
603719,良品铺子,F,批发和零售业,,,52,零售业
603721,*ST天择,R,文化、体育和娱乐业,,,87,广播、电视、电影和录音制作业
603722,阿科力,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603725,天安新材,C,制造业,CF,金属、非金属,30,非金属矿物制品业
603726,朗迪集团,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
603727,博迈科,B,采矿业,,,11,开采专业及辅助性活动
603728,鸣志电器,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603729,龙韵股份,L,租赁和商务服务业,,,72,商务服务业
603730,岱美股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603733,仙鹤股份,C,制造业,CD,造纸、印刷、文教,22,造纸和纸制品业
603737,三棵树,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603738,泰晶科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603739,蔚蓝生物,C,制造业,CA,食品、饮料、烟草,14,食品制造业
603755,日辰股份,C,制造业,CA,食品、饮料、烟草,14,食品制造业
603757,大元泵业,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603758,秦安股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603759,海天股份,D,电力、热力、燃气及水生产和供应业,,,46,水的生产和供应业
603766,隆鑫通用,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
603767,中马传动,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603768,常青股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603773,沃格光电,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603776,永安行,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
603777,来伊份,F,批发和零售业,,,52,零售业
603778,国晟科技,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603779,威龙股份,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
603786,科博达,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603787,新日股份,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
603788,宁波高发,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603789,*ST星农,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603790,雅运股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603797,联泰环保,N,水利、环境和公共设施管理业,,,77,生态保护和环境治理业
603798,康普顿,C,制造业,CE,石油、化学、生物医药,25,石油、煤炭及其他燃料加工业
603799,华友钴业,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
603800,洪田股份,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
